Zeit [s],Q_downhole [lpm]_s,Pint_downhole [MPa]_s
1750.009,0.002964948833333333,0.08657316666666666
1751.009,0.0029531354285714283,0.08659157142857143
1752.009,0.0029444435,0.086701875
1753.009,0.002935961111111111,0.08674477777777778
1754.009,0.0029290899,0.0868177
1755.009,0.002922331727272727,0.08680718181818182
1756.009,0.002909527636363636,0.08680718181818181
1757.009,0.0028945744545454542,0.08666681818181819
1758.009,0.0028810271818181816,0.08684236363636363
1759.009,0.002863110181818182,0.08684236363636365
1760.009,0.0028485869090909086,0.08677218181818182
1761.009,0.0028295382727272726,0.08698281818181819
1762.009,0.002811576090909091,0.08698281818181818
1763.009,0.002793685272727273,0.08691263636363637
1764.009,0.0027755445454545457,0.08677227272727273
1765.009,0.002759108181818182,0.08656172727272728
1766.009,0.002744908818181818,0.08638618181818182
1767.009,0.002734766181818182,0.08617554545454546
1768.009,0.0027353518181818183,0.08607018181818181
1769.009,0.0027470609090909093,0.08614036363636364
1770.009,0.002771170181818182,0.08775509090909091
1771.009,0.002799278,0.09123027272727273
1772.009,0.0028296515454545455,0.09600418181818182
1773.009,0.002857968,0.10151527272727273
1774.009,0.002913015454545455,0.10814972727272726
1775.009,0.0030899015454545456,0.11569681818181819
1776.009,0.0037371145454545454,0.12394590909090909
1777.009,0.005644683090909091,0.1331428181818182
1778.009,0.010355710545454545,0.148588
1779.009,0.02193536590909091,0.16863172727272727
1780.009,0.041436879545454545,0.1944322727272727
1781.009,0.08130894445454545,0.22841172727272727
1782.009,0.1252429439090909,0.2652344545454545
1783.009,0.17219022554545454,0.3065855454545454
1784.009,0.2205779560909091,0.35106072727272725
1785.009,0.26956924827272727,0.3998885454545454
1786.009,0.3187208734545455,0.45089272727272733
1787.009,0.3677157807272727,0.5031958181818182
1788.009,0.4158186318181819,0.5579911818181817
1789.009,0.46154428454545454,0.6086444545454545
1790.009,0.5006495637272728,0.6573669999999999
1791.009,0.5314189568181819,0.701771909090909
1792.009,0.5413120661818182,0.7395424545454545
1793.009,0.5466213982727273,0.7750313636363636
1794.009,0.5485141935454546,0.8060269999999999
1795.009,0.5493042048181819,0.8360047272727272
1796.009,0.549300923090909,0.861384
1797.009,0.5497562725454546,0.8844816363636364
1798.009,0.5495659401818181,0.9073686363636363
1799.009,0.549872388181818,0.9298344545454544
1800.009,0.5493019235454546,0.9507908181818181
1801.009,0.5487659090909092,0.9705887272727272
1802.009,0.5483819198181817,0.9901409999999999
1803.009,0.5485389365454545,1.0084646363636365
1804.009,0.5493034263636364,1.024962909090909
1805.009,0.5508913177272728,1.040408090909091
1806.009,0.5522171371818181,1.0554671818181818
1807.009,0.5540553418181818,1.070456090909091
1808.009,0.5546987163636363,1.086498
1809.009,0.5553701618181818,1.1011709090909092
1810.009,0.5546085681818181,1.1139131818181818
1811.009,0.5537839191818181,1.1278839999999999
1812.009,0.5524160987272727,1.1402752727272727
1813.009,0.551112425,1.1518942727272727
1814.009,0.5501850750909091,1.163056909090909
1815.009,0.5492630437272727,1.1751322727272726
1816.009,0.5484148804545455,1.1869619090909092
1817.009,0.5479061801818182,1.1987564545454545
1818.009,0.5467020184545455,1.2101297272727272
1819.009,0.5459214801818182,1.2197829999999998
1820.009,0.5453717967272728,1.2302084545454546
1821.009,0.5449861837272727,1.239616
1822.009,0.5453576787272727,1.2492692727272727
1823.009,0.5457395226363636,1.2592033636363635
1824.009,0.5467826969090909,1.2694533636363636
1825.009,0.5470909306363637,1.278194
1826.009,0.5478323387272727,1.2872153636363637
1827.009,0.5476411193636364,1.2967984545454545
1828.009,0.547416152909091,1.3043455454545454
1829.009,0.5474394028181817,1.3119277272727272
1830.009,0.547487436909091,1.3203875454545455
1831.009,0.5475170705454546,1.3291983636363638
1832.009,0.5475054297272727,1.337623
1833.009,0.5472363489090909,1.3456966363636362
1834.009,0.5473845549090909,1.3539458181818183
1835.009,0.5476776797272728,1.361106727272727
1836.009,0.5484886239090909,1.3691802727272728
1837.009,0.5491700494545454,1.3753232727272726
1838.009,0.5501577536363637,1.382800090909091
1839.009,0.5506337766363636,1.3902067272727274
1840.009,0.5507657629090909,1.3978240000000002
1841.009,0.5503922262727272,1.4045285454545455
1842.009,0.5494132243636364,1.4104609090909093
1843.009,0.5483774090909092,1.417972909090909
1844.009,0.5472556689090908,1.4237648181818183
1845.009,0.546360033,1.430013090909091
1846.009,0.5453688962727272,1.436787909090909
