index,qs,T_s
0.0,4.99798387889632e-08,1750.009
194.0,8.881988174972981e-06,1788.809
772.0,1.902012306680659e-05,1904.409
1620.0,3.4081324359298184e-05,2074.009
2022.0,6.70642614097026e-05,2154.409
2877.0,0.00010069279019128104,2325.409
3374.0,0.00013208970782505055,2424.809
3807.0,1.260137439764935e-06,2511.409
