sf0,pjack,wr,L
0.0005666667364206899,3600000.0,300000.0,13.5
2.0926206997084548e-10,3600000.0,300000.0,13.5
2.0926206997084548e-10,3266666.6666666665,300000.0,13.5
2.0926206997084548e-10,3266666.6666666665,300000.0,0.5
2.0926206997084548e-10,3266666.6666666665,500000.0,0.5
0.0005666667364206899,3266666.6666666665,400000.0,7.000000000000001
0.0005666667364206899,3266666.6666666665,200000.0,7.000000000000001
0.0005666667364206899,3600000.0,200000.0,7.000000000000001
2.0926206997084548e-10,3600000.0,200000.0,7.000000000000001
2.0926206997084548e-10,3600000.0,200000.0,20.0
